record_id,patient_id,split,in_train_loader
cpsc2018_A0001,cpsc2018_A0001,cal,no
cpsc2018_A0002,cpsc2018_A0002,train,yes
cpsc2018_A0003,cpsc2018_A0003,cal,no
cpsc2018_A0004,cpsc2018_A0004,train,yes
cpsc2018_A0005,cpsc2018_A0005,train,yes
cpsc2018_A0006,cpsc2018_A0006,train,yes
cpsc2018_A0007,cpsc2018_A0007,train,yes
cpsc2018_A0008,cpsc2018_A0008,train,yes
cpsc2018_A0009,cpsc2018_A0009,train,yes
cpsc2018_A0010,cpsc2018_A0010,train,yes
cpsc2018_A0011,cpsc2018_A0011,cal,no
cpsc2018_A0012,cpsc2018_A0012,test,no
cpsc2018_A0013,cpsc2018_A0013,train,yes
cpsc2018_A0014,cpsc2018_A0014,test,no
cpsc2018_A0015,cpsc2018_A0015,test,no
cpsc2018_A0016,cpsc2018_A0016,train,yes
cpsc2018_A0017,cpsc2018_A0017,train,yes
cpsc2018_A0018,cpsc2018_A0018,test,no
cpsc2018_A0019,cpsc2018_A0019,val,no
cpsc2018_A0020,cpsc2018_A0020,test,no
cpsc2018_A0021,cpsc2018_A0021,train,yes
cpsc2018_A0022,cpsc2018_A0022,train,yes
cpsc2018_A0023,cpsc2018_A0023,train,yes
cpsc2018_A0024,cpsc2018_A0024,train,yes
cpsc2018_A0025,cpsc2018_A0025,train,yes
cpsc2018_A0026,cpsc2018_A0026,train,yes
cpsc2018_A0027,cpsc2018_A0027,train,yes
cpsc2018_A0028,cpsc2018_A0028,train,yes
cpsc2018_A0029,cpsc2018_A0029,train,yes
cpsc2018_A0030,cpsc2018_A0030,train,yes
cpsc2018_A0031,cpsc2018_A0031,train,yes
cpsc2018_A0032,cpsc2018_A0032,train,yes
cpsc2018_A0033,cpsc2018_A0033,test,no
cpsc2018_A0034,cpsc2018_A0034,train,yes
cpsc2018_A0035,cpsc2018_A0035,val,no
cpsc2018_A0036,cpsc2018_A0036,train,yes
cpsc2018_A0037,cpsc2018_A0037,train,yes
cpsc2018_A0038,cpsc2018_A0038,test,no
cpsc2018_A0039,cpsc2018_A0039,train,yes
cpsc2018_A0040,cpsc2018_A0040,test,no
cpsc2018_A0041,cpsc2018_A0041,train,yes
cpsc2018_A0042,cpsc2018_A0042,test,no
cpsc2018_A0043,cpsc2018_A0043,test,no
cpsc2018_A0044,cpsc2018_A0044,test,no
cpsc2018_A0045,cpsc2018_A0045,train,yes
cpsc2018_A0046,cpsc2018_A0046,val,no
cpsc2018_A0047,cpsc2018_A0047,train,yes
cpsc2018_A0048,cpsc2018_A0048,test,no
cpsc2018_A0049,cpsc2018_A0049,train,yes
cpsc2018_A0050,cpsc2018_A0050,train,yes
cpsc2018_A0051,cpsc2018_A0051,train,yes
cpsc2018_A0052,cpsc2018_A0052,train,yes
cpsc2018_A0053,cpsc2018_A0053,test,no
cpsc2018_A0054,cpsc2018_A0054,train,yes
cpsc2018_A0055,cpsc2018_A0055,test,no
cpsc2018_A0056,cpsc2018_A0056,test,no
cpsc2018_A0057,cpsc2018_A0057,cal,no
cpsc2018_A0058,cpsc2018_A0058,train,yes
cpsc2018_A0059,cpsc2018_A0059,val,no
cpsc2018_A0060,cpsc2018_A0060,train,yes
cpsc2018_A0061,cpsc2018_A0061,train,yes
cpsc2018_A0062,cpsc2018_A0062,train,yes
cpsc2018_A0063,cpsc2018_A0063,train,yes
cpsc2018_A0064,cpsc2018_A0064,train,yes
cpsc2018_A0065,cpsc2018_A0065,cal,no
cpsc2018_A0066,cpsc2018_A0066,cal,no
cpsc2018_A0067,cpsc2018_A0067,train,yes
cpsc2018_A0068,cpsc2018_A0068,train,yes
cpsc2018_A0069,cpsc2018_A0069,train,yes
cpsc2018_A0070,cpsc2018_A0070,test,no
cpsc2018_A0071,cpsc2018_A0071,train,yes
cpsc2018_A0072,cpsc2018_A0072,train,yes
cpsc2018_A0073,cpsc2018_A0073,train,yes
cpsc2018_A0074,cpsc2018_A0074,train,yes
cpsc2018_A0075,cpsc2018_A0075,train,yes
cpsc2018_A0076,cpsc2018_A0076,train,yes
cpsc2018_A0077,cpsc2018_A0077,test,no
cpsc2018_A0078,cpsc2018_A0078,cal,no
cpsc2018_A0079,cpsc2018_A0079,cal,no
cpsc2018_A0080,cpsc2018_A0080,val,no
cpsc2018_A0081,cpsc2018_A0081,train,yes
cpsc2018_A0082,cpsc2018_A0082,cal,no
cpsc2018_A0083,cpsc2018_A0083,train,yes
cpsc2018_A0084,cpsc2018_A0084,train,yes
cpsc2018_A0085,cpsc2018_A0085,train,yes
cpsc2018_A0086,cpsc2018_A0086,train,yes
cpsc2018_A0087,cpsc2018_A0087,train,yes
cpsc2018_A0088,cpsc2018_A0088,train,yes
cpsc2018_A0089,cpsc2018_A0089,train,yes
